step,phase,branch_id,is_overlap,x_b,fast_access,slow_access,effective_access,eligibility,translation_readiness,structural_accessibility,input_drive
0,init,b0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
0,init,b1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
0,init,b2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
0,init,b3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
1,encode_mu_1,b0,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.8803135872263584,0.0,0.5,1.0
1,encode_mu_1,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.6789210541063354,0.0,0.5,0.8
1,encode_mu_1,b2,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
1,encode_mu_1,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
2,encode_mu_1,b0,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
2,encode_mu_1,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
2,encode_mu_1,b2,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
2,encode_mu_1,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
3,encode_mu_2,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.88,0.0,0.5,0.0
3,encode_mu_2,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
3,encode_mu_2,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.8803135872263584,0.0,0.5,1.0
3,encode_mu_2,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
4,encode_mu_2,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.7744,0.0,0.5,0.0
4,encode_mu_2,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
4,encode_mu_2,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
4,encode_mu_2,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
5,pre_consolidation_probe,b0,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
5,pre_consolidation_probe,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
5,pre_consolidation_probe,b2,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.88,0.0,0.5,0.0
5,pre_consolidation_probe,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
6,pre_consolidation_probe,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.88,0.0,0.5,0.0
6,pre_consolidation_probe,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
6,pre_consolidation_probe,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
6,pre_consolidation_probe,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
